lexical_id,entry_id,word,word_with_airab_or_variant,part_of_speech,domain,definition,language_direction,source_dictionary,normalized_word,normalized_definition,extra,publisher,publisher_url,prepared_by
slx_201584e228d62498,1,اب,ابُ:,,Arabic → Sindhi,(و): پيءُ .,arabic,Arabic → Sindhi,اب,و پيء,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_4afa303b0026ffba,2,آباء,آباءُ:,,Arabic → Sindhi,(ج) پِيـُر َ، ابا، ڏاڏا.,arabic,Arabic → Sindhi,آباء,ج پيـر ابا ڏاڏا,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_917d27d7222ac9a2,3,ابو,ابـُو:,,Arabic → Sindhi,پيءَ، نالي جي اڳيان اچي ڪنيت پيدا ڪندڙ لفظ مثلا: ابوبڪر، ابوالحسن.,arabic,Arabic → Sindhi,ابو,پيء نالي جي اڳيان اچي ڪنيت پيدا ڪندڙ لفظ مثلا ابوبڪر ابوالحسن,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_4a8e9fa47e6ac26a,4,ابوالبشر,ابوالبشر:,,Arabic → Sindhi,انسان ذات جو پيءُ حضرت آدم عليه السلام.,arabic,Arabic → Sindhi,ابوالبشر,انسان ذات جو پيء حضرت آدم عليه السلام,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_478563bc4d7af1d4,5,آخرت,آخـِرت:,,Arabic → Sindhi,پڇاڙي، ٻيو جھان.,arabic,Arabic → Sindhi,آخرت,پڇاڙي ٻيو جھان,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_628f1642183cd4d4,6,آدم,آدم :,,Arabic → Sindhi,پھريون ماڻھو جنھن کان انسان ذات جي شروعات ٿي.,arabic,Arabic → Sindhi,آدم,پھريون ماڻھو جنھن کان انسان ذات جي شروعات ٿي,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_fd1bc57965402ac9,7,آدميت,آدمـِيت:,,Arabic → Sindhi,انسانيت، ماڻھپو.,arabic,Arabic → Sindhi,آدميت,انسانيت ماڻھپو,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_554bdb8317d2afc3,8,آفت,آفت:,,Arabic → Sindhi,(و) مصيبت.,arabic,Arabic → Sindhi,آفت,و مصيبت,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_a9ff9916da47ecac,9,آفات,آفات:,,Arabic → Sindhi,(ج) مصيبتون.,arabic,Arabic → Sindhi,آفات,ج مصيبتون,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_14205df40c82e181,10,آفات ارضي,آفات ارضي:,,Arabic → Sindhi,زمين جون مـُصيبتون.,arabic,Arabic → Sindhi,آفات ارضي,زمين جون مـصيبتون,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
